PAGE_NAME,PAGE_DESCRIPTION,NEW_PAGE_NAME,NEW_PAGE_DESCRIPTION
Blatrol Bladder Relief,"Disp fx of left tibial spine, init for opn fx type 3A/B/C",allergy relief,"Maternal care for excess fetal growth, first tri, fetus 4"
Ondansetron,"Burn of third degree of left ear, initial encounter",LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,"Corrosion of first degree of unspecified shoulder, sequela"
Qdryl Allergy,"Oth fx shaft of radius, left arm, init for opn fx type I/2",galantamine hydrobromide,"Strain extn musc/fasc/tend l little fngr at wrs/hnd lv, sqla"
Allergy Composition,Unspecified blood type,Metformin Hydrochloride,"Displ seg fx shaft of r fibula, 7thM"
LIVESTS Moist Liquid,"Nondisp unsp fracture of left great toe, init for opn fx",SUDDEN NAUSEA,Superficial frostbite of unspecified ear
Omeprazole,Contusion of unspecified intra-abdominal organ,Treatment Set TS331802,"Burn of third degree of unsp site lower limb, except ank/ft"
Lisinopril,"Displ longitud fx l patella, subs for clos fx w delay heal",ANBESOL MAXIMUM STRENGTH,"Oth fracture of unsp great toe, init for opn fx"
LEDUM PALUSTRE,"Driver of pk-up/van inj in clsn w ped/anml nontraf, sequela",Captopril,"Nondisp fx of r tibial tuberosity, 7thC"
Anzemet,"Aspirat pneumonitis due to anesth during preg, first tri",infants pain relief,"Nondisp transverse fx shaft of l fibula, 7thH"
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,"Displaced transverse fracture of shaft of humerus, left arm",Candesartan Cilexetil and Hydrochlorothiazide,"Keratoconus, unspecified, unspecified eye"
Hansai Beestox Sun Cream,"Superficial foreign body, left ankle",VALACYCLOVIR HYDROCHLORIDE,"Greenstick fracture of shaft of left ulna, init for clos fx"
Duloxetine,"Oth contact with oth nonvenomous marine animals, init encntr",Aspirin,"Nondisp fx of med epicondyl of r humer, 7thK"
Ketorolac Tromethamine,"Speech disturbances, not elsewhere classified",Mometasone Furoate,"Torus fx upper end of right ulna, subs for fx w malunion"
Alcohol,Other contact with turtle,Respiratory Complex,"Nondisp fx of olecran pro w intartic extn unsp ulna, 7thN"
Berkley and Jensen Arthritis Pain Relief,"Driver of bus injured pick-up truck, pk-up/van nontraf",Venoforce,"Hunting rifle discharge, undetermined intent, subs encntr"
CRESTOR,"ABO incompatibility w hemolytic transfs react, unsp, init",Lysol,Unsp car occupant injured in clsn w rail trn/veh in traf
ELIXOPHYLLIN,"Toxic effect of venom of centipede/millipede, slf-hrm, init",CVS Pharmacy Oil Free SPF 30,"Terrorism involving oth means, publ sfty offcl injured, init"
TOPIRAMATE,"Inj muscle, fascia and tendon at neck level, init encntr",Hand Care Day care Broad Spectrum SPF 15,"Chronic postrheumatic arthropathy [Jaccoud], left wrist"
CVP,"Injury of digital nerve of left middle finger, init encntr",Listerine Total Care Zero,"Fx unsp phalanx of l idx fngr, subs for fx w malunion"
ACETAMINOPHEN,Breakdown (mechanical) of other urinary stents,FINASTERIDE,"Passenger on bus injured in collision w hv veh in traf, init"
Benazepril Hydrochloride,Driver of bus injured in collision w rail trn/veh in traf,Prascion,"Other synovitis and tenosynovitis, left upper arm"
Tretin-X,"Toxic effect of carbon monoxide from oth source, accidental",Azithromycin,"Crushing injury of left thigh, subsequent encounter"
Rembrandt Canker Sore,"Displ seg fx shaft of ulna, l arm, 7thM",Eucalyptus,African trypanosomiasis
good neighbor pharmacy milk of magnesia,Athscl unsp type bypass of the left leg w ulcer oth prt foot,REQUIP,"Unspecified injury of descending [left] colon, sequela"
Sterile Water,"Obstructed labor due to malpos and malpresent, unsp, oth",Ginger,"Struck by tennis racquet, initial encounter"
FERROUS SULFATE,"Unspecified open wound of left ear, subsequent encounter",Lufyllin,"Displaced transcondylar fracture of right humerus, sequela"
Quinapril,Rheumatoid polyneuropathy w rheumatoid arthritis of ank/ft,GREEN BELL PEPPER,"Disp fx of neck of r radius, subs for clos fx w routn heal"
Loperamide Hydrochloride,"Toxic effect of manganese and its compounds, undet, sequela",Etodolac,"Idiopathic chronic gout, left shoulder"
Finasteride,"Traumatic cerebral edema w LOC of 1-5 hrs 59 min, subs",Nortriptyline Hydrochloride,"Nondisp pilon fx unsp tibia, 7thH"
Lisinopril and Hydrochlorothiazide,"Disp fx of nk of unsp rad, 7thQ",Secale Betula,"Type III occipital condyle fracture, unspecified side, 7thK"
ELYMUS REPENS POLLEN,"Burn w resulting rupture and dest of left eyeball, sequela",Tramadol Hydrochloride and Acetaminophen,"Inj oth blood vessels at hip and thi lev, unsp leg, sequela"
bareMinerals bareSkin Pure Brightening Serum Foundation Broad Spectrum SPF 20,Oth disorders of external ear in diseases classd elswhr,Pravastatin Sodium,Food in other parts of respiratory tract
Peptic Relief,"Walked into furniture, sequela",Treatment Set TS332256,"Open bite of abd wall, right low q w/o penet perit cav, init"
DawnMist Unscented Roll-On Antiperspirant Deodorant,"Juvenile arthritis, unspecified, elbow",Proctofoam,37 weeks gestation of pregnancy
Myorisan,"External constriction, unspecified ankle",IFEX,"Person outside car injured in clsn w pedl cyc in traf, subs"
Topcare Arthritis Pain Relief,"Flail joint, knee",Bac,"Atrophic flaccid tympanic membrane, unspecified ear"
HydrALAZINE Hydrochloride,Other specified disorders of pancreatic internal secretion,Midazolam,Clutton's joints
Campral,Frostbite with tissue necrosis of nose,ShopRite Gas Relief,"Unsp intcrn injury w LOC >24 hr w ret consc lev, sequela"
Baclofen,"Peripheral corneal degeneration, right eye",Dentox,"Injury of trochlear nerve, unspecified side, subs encntr"
TIZANIDINE HYDROCHLORIDE,"War operations, unspecified, subsequent encounter",Keppra,Chromosome inversion in normal individual
Aspirin,"Prsn brd/alit from bus inj in clsn w nonmtr vehicle, sequela",AQUAFRESH,"Insect bite (nonvenomous) of right hand, sequela"
Q-Tapp DM Elixir,Loose body in right finger joint(s),Lescol,"Oth fx upr end r tibia, subs for opn fx type I/2 w nonunion"
LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,"Toxic effect of homologues of benzene, assault, init encntr",JUGLANS NIGRA POLLEN,"Laceration of superficial palmar arch of left hand, sequela"
Atropine Sulfate,"Oth chronic hematogenous osteomyelitis, unsp ankle and foot",Nitroglycerin,"Oth injury of unspecified tibial artery, right leg, sequela"
Perphenazine,"Unsp fx upr end l ulna, 7thR",Ropinirole,"Blister (nonthermal) of scrotum and testes, subs encntr"
LBEL Couleur luxe rouge irresistible maximum hydration SPF 17,"Nondisp comminuted fracture of shaft of humerus, unsp arm",CRH Medsense Bisacodyl Stimulant Laxative,"Oth disp fx of upper end of right humerus, init for clos fx"
Blue Star,"Corrosion of first deg mult sites of left ank/ft, sequela",Doxycycline Hyclate,Occlusion and stenosis of vertebral artery
Eczema Relief,Bent bone of unspecified ulna,Dermisil,"Fracture of oth part of scapula, left shoulder, init"
pain reliever,"Nondisp unsp fx right great toe, subs for fx w delay heal",Morphine Sulfate,"Sprain of other ligament of unspecified ankle, sequela"
"Rugby Nicotine Polacrilex Gum, Coated Mint Flavor",Other secondary osteonecrosis of unspecified carpus,Body Series Invisible Solid Deodorant and Antiperspirant,"Unsp inj less saphenous at low leg level, unsp leg, sequela"
